Provinsi,Indeks_Literasi_Digital,Persentase_Akses_Internet,APS 7-12 Tahun,APS 13-15 Tahun,APS 16-18 Tahun,APS_Rata2,lit_z,net_z,Indeks_Kesiapan_Digital_Pendidikan,Kategori_Litdig,Kategori_Internet,Status_Kinerja,Kategori_APS,Cluster,Cluster_Label,Label_Cluster
Aceh,0.2670413585767716,-0.5067858738169772,0.8675491355826493,1.1812164941189331,1.466862743463456,1.624086250360337,0.2670413585767716,-0.5067858738169772,-0.1807551083852161,Baik,Rendah,Berkembang,Tinggi,1,Tinggi,Rendah
Bali,-0.5311481967296164,0.6362271241571478,0.631376888812151,0.8482561400719802,0.9923543146815865,1.1174638271000237,-0.5311481967296164,0.6362271241571478,0.0792241394850472,Rendah,Tinggi,Maju,Tinggi,1,Tinggi,Rendah
Banten,-0.2318271134897215,0.6261653900200522,0.15903239527113686,0.25104153678142577,-1.3373750386609793,-1.0036536174122466,-0.2318271134897215,0.6261653900200522,0.29731090132870147,Sedang,Tinggi,Maju,Rendah,2,Sedang,Tinggi
Bengkulu,0.46658874740336975,0.15527623240395214,-0.5246241085382048,0.6949886755106911,0.8264547512352949,0.8044643414650682,0.46658874740336975,0.15527623240395214,0.4688544040868661,Baik,Sedang,Maju,Tinggi,1,Tinggi,Rendah
Di Yogyakarta,1.3645519971230635,0.416881319968452,0.6935274800675426,1.3926198935138159,2.4140957347535807,2.434973289889044,1.3645519971230635,0.416881319968452,1.3431096514941578,Tinggi,Tinggi,Maju,Tinggi,1,Tinggi,Rendah
Dki Jakarta,0.865683525056566,1.0568076110877684,0.4076347602927205,0.7372693553896676,-1.3373750386609793,-0.8406027225698478,0.865683525056566,1.0568076110877684,1.4494600359687653,Baik,Tinggi,Maju,Rendah,2,Sedang,Tinggi
Gorontalo,-1.5288851408626072,0.06371445175637588,0.3081938142840906,-0.774264950283777,-0.4276032391167907,-0.5261474253737947,-1.5288851408626072,0.06371445175637588,-1.1046637978219858,Rendah,Sedang,Berkembang,Sedang,0,Rendah,Sedang
Jambi,0.3668150529900729,0.24683801305152694,0.3952046420416528,-0.9275324148450735,0.24848207858369203,-0.0064226980636452515,0.3668150529900729,0.24683801305152694,0.4626630409130895,Baik,Baik,Maju,Baik,2,Sedang,Tinggi
Jawa Barat,0.9654572194698673,0.2699800015668471,0.37034440553948206,-0.28803713167553496,-1.5657099216838344,-1.313741479925019,0.9654572194698673,0.2699800015668471,0.9314565072234408,Tinggi,Baik,Maju,Rendah,2,Sedang,Tinggi
Jawa Tengah,1.0652309138831642,0.3373936202853916,0.5319359428035212,0.5364361259645196,-0.9360051270973674,-0.5538078450345522,1.0652309138831642,0.3373936202853916,1.0575071944539731,Tinggi,Baik,Maju,Sedang,2,Sedang,Tinggi
Jawa Timur,0.7659098306432691,0.022461341794281924,-0.02741937849503761,0.7425544403745351,-0.46863216340996067,-0.18112008539479485,0.7659098306432691,0.022461341794281924,0.5943915612791035,Baik,Sedang,Maju,Sedang,2,Sedang,Tinggi
Kalimantan Barat,1.3645519971230635,-0.014767074512974366,-0.5867746997935964,-0.8112605451778861,-1.0216307082309362,-1.1259417885440457,1.3645519971230635,-0.014767074512974366,1.0176688285805604,Tinggi,Sedang,Maju,Rendah,2,Sedang,Tinggi
Kalimantan Selatan,-0.2318271134897215,0.23375775867330095,0.00987097625820082,-1.598738207923839,-1.462245677814101,-1.6325642118043528,-0.2318271134897215,0.23375775867330095,0.001455607770885716,Sedang,Baik,Maju,Rendah,2,Sedang,Tinggi
Kalimantan Tengah,0.9654572194698673,-0.012754727685554102,0.37034440553948206,-0.4624449361763162,-0.9467083247390616,-0.8566166497418669,0.9654572194698673,-0.012754727685554102,0.7182889751984518,Tinggi,Sedang,Maju,Rendah,2,Sedang,Tinggi
Kalimantan Timur,1.1650046082964653,0.8223692056934278,0.3952046420416528,1.107225304330722,0.7033679783557876,0.9252967010357697,1.1650046082964653,0.8223692056934278,1.4983782581626972,Tinggi,Tinggi,Maju,Tinggi,1,Tinggi,Rendah
Kalimantan Utara,-2.925716862648794,0.9441161887522909,0.22118298652654603,0.35674323647887096,-0.17607809453692783,-0.01952500211348752,-2.925716862648794,0.9441161887522909,-1.4940256056640269,Rendah,Tinggi,Berkembang,Sedang,0,Rendah,Sedang
Kepulauan Bangka Belitung,0.16726766416347477,0.49536284623780225,-0.17658079750799133,-1.8735626271371906,-1.048388702335178,-1.3923553042240293,0.16726766416347477,0.49536284623780225,0.49958953015850277,Sedang,Tinggi,Maju,Rendah,2,Sedang,Tinggi
Kepulauan Riau,0.865683525056566,1.0437273567095438,0.18389263177330759,1.3133436187407377,1.1172249538347108,1.2950728375533562,0.865683525056566,1.0437273567095438,1.4395981928501715,Baik,Tinggi,Maju,Tinggi,1,Tinggi,Rendah
Lampung,-0.1320534190764202,0.3031837242192657,0.8178286625783255,-0.1030591572050115,-0.16359103062161412,-0.0661109720684533,-0.1320534190764202,0.3031837242192657,0.129023501635052,Sedang,Baik,Maju,Sedang,2,Sedang,Tinggi
Maluku,0.3668150529900729,-0.2542363469758628,0.5070757063013505,1.1706463241491833,0.14680170098757822,0.5016555367577472,0.3668150529900729,-0.2542363469758628,0.08487858913926348,Baik,Rendah,Maju,Baik,1,Tinggi,Rendah
Maluku Utara,-0.1320534190764202,-0.7130514236274484,0.10931192226683074,0.7848351202535192,0.7319098387336439,0.8263015148814534,-0.1320534190764202,-0.7130514236274484,-0.6371658483480088,Sedang,Rendah,Berkembang,Tinggi,1,Tinggi,Rendah
Nusa Tenggara Barat,-0.6309218911429177,-0.5148352611266539,0.2584733412797668,0.9856683496786598,0.6355810599583759,0.8204782686370811,-0.6309218911429177,-0.5148352611266539,-0.8638423199551475,Rendah,Rendah,Berkembang,Tinggi,1,Tinggi,Rendah
Nusa Tenggara Timur,-1.1297903632094108,-1.072255332321781,-0.20144103401014438,0.446589681221699,0.30913353188663845,0.35170694596519064,-1.1297903632094108,-1.072255332321781,-1.66022988249028,Rendah,Rendah,Tertinggal,Baik,0,Rendah,Sedang
Papua,1.1650046082964653,-5.005387206512674,-4.80058478690938,-0.1823354319780973,1.3098825113852441,0.45652537836387297,1.1650046082964653,-5.005387206512674,-2.895452152829267,Tinggi,Rendah,Tertinggal,Baik,1,Tinggi,Rendah
Papua Barat,0.46658874740336975,-0.6607304061145487,-0.25116150701446815,0.5998571457829882,0.7408291701017237,0.7404086327769794,0.46658874740336975,-0.6607304061145487,-0.1463728858500278,Baik,Rendah,Berkembang,Baik,1,Tinggi,Rendah
Riau,-1.7284325296892051,0.6161036558829566,0.6562371253143041,0.06606356231090231,0.5356845486358764,0.5322275795406939,-1.7284325296892051,0.6161036558829566,-0.8386391068984684,Rendah,Tinggi,Berkembang,Baik,0,Rendah,Sedang
Sulawesi Barat,-1.8282062241025065,-0.28140302914602205,-1.2952914401051088,-2.81430775444444,-1.0359016384198643,-1.7723221216692626,-1.8282062241025065,-0.28140302914602205,-1.5905375305013059,Rendah,Rendah,Tertinggal,Rendah,0,Rendah,Sedang
Sulawesi Selatan,-0.032279724663123364,0.34644918100877853,0.4573552332970443,-1.5036066781961435,-1.1143917544589728,-1.2700671330922426,-0.032279724663123364,0.34644918100877853,0.23686770926202586,Sedang,Baik,Maju,Rendah,2,Sedang,Tinggi
Sulawesi Tengah,-0.6309218911429177,-0.26731660135408736,-1.6681949876374755,-1.0120937746030267,0.6730422517043144,0.07510274935754796,-0.6309218911429177,-0.26731660135408736,-0.6772259040186787,Rendah,Rendah,Berkembang,Baik,0,Rendah,Sedang
Sulawesi Tenggara,0.6661361362299678,0.27299852180797607,-0.574344581542511,-1.1653612391643233,-0.07618158321442843,-0.4504452241969613,0.6661361362299678,0.27299852180797607,0.7080595221620793,Baik,Baik,Maju,Sedang,2,Sedang,Tinggi
Sulawesi Utara,-1.030016668796114,-0.13550788415812728,0.29576369603300523,-0.3831686614032379,-0.7772410287455386,-0.7052122473882126,-1.030016668796114,-0.13550788415812728,-0.8787459295316646,Rendah,Sedang,Berkembang,Sedang,0,Rendah,Sedang
Sumatera Barat,0.2670413585767716,0.2649491344982993,0.2833335777819375,0.1083442421898789,1.6488171033722954,1.4086261393186001,0.2670413585767716,0.2649491344982993,0.4010936356118208,Baik,Baik,Maju,Tinggi,1,Tinggi,Rendah
Sumatera Selatan,-0.43137450231631963,0.09088113392653657,0.4573552332970443,0.24047136681168352,-0.5453384131754496,-0.32524542994297917,-0.43137450231631963,0.09088113392653657,-0.2567145932247004,Sedang,Sedang,Berkembang,Sedang,0,Rendah,Sedang
Sumatera Utara,-0.43137450231631963,0.17338735385072448,0.7183877165696956,0.3356028965393789,-0.06012678675188335,0.12751196555689223,-0.43137450231631963,0.17338735385072448,-0.1945091212458782,Sedang,Sedang,Berkembang,Baik,0,Rendah,Sedang
